,Picture,Title,Venue,Time,Price,Link
21,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01g4kEm02GdSMHEtGut_!!2251059038.jpg_q60.jpg_.webp,【上海】 音乐剧《我的遗愿清单》,上海 | 上剧场,2021.12.30-2022.01.02,180-380             元,//detail.damai.cn/item.htm?id=658859589062&clicktitle=%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%88%91%E7%9A%84%E9%81%97%E6%84%BF%E6%B8%85%E5%8D%95%E3%80%8B
22,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01RrdqFM2GdSLnX0bTd_!!2251059038.jpg_q60.jpg_.webp,【上海】 舞台剧《繁花》第二季,上海 | 美琪大戏院,2021.11.28-12.05,280-1080             元,//detail.damai.cn/item.htm?id=657178527621&clicktitle=%E8%88%9E%E5%8F%B0%E5%89%A7%E3%80%8A%E7%B9%81%E8%8A%B1%E3%80%8B%E7%AC%AC%E4%BA%8C%E5%AD%A3
23,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01JDB69m2GdSLxutR95_!!2251059038.png_q60.jpg_.webp,【上海】 镜像式驻演戏剧《弗兰肯斯坦计划》,上海 | 星空间2332号,2021.11.24-12.05,230-320             元,//detail.damai.cn/item.htm?id=658727507679&clicktitle=%E9%95%9C%E5%83%8F%E5%BC%8F%E9%A9%BB%E6%BC%94%E6%88%8F%E5%89%A7%E3%80%8A%E5%BC%97%E5%85%B0%E8%82%AF%E6%96%AF%E5%9D%A6%E8%AE%A1%E5%88%92%E3%80%8B
24,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01eJfse32GdSLpi6XEt_!!2251059038.jpg_q60.jpg_.webp,【上海】 【第二轮开票】音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.11.26-12.19,80-1080             元,//detail.damai.cn/item.htm?id=654104924238&clicktitle=%E3%80%90%E7%AC%AC%E4%BA%8C%E8%BD%AE%E5%BC%80%E7%A5%A8%E3%80%91%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E7%BD%97%E5%AF%86%E6%AC%A7%E4%B8%8E%E6%9C%B1%E4%B8%BD%E5%8F%B6%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
25,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01vIBytQ2GdSLzWS3wh_!!2251059038.jpg_q60.jpg_.webp,【上海】 百老汇音乐剧《摇滚年代》中文版,上海 | FANCL艺术中心 艺海剧院大剧场,2021.12.22-12.26,180-680             元,//detail.damai.cn/item.htm?id=657420801692&clicktitle=%E7%99%BE%E8%80%81%E6%B1%87%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E6%91%87%E6%BB%9A%E5%B9%B4%E4%BB%A3%E3%80%8B%E4%B8%AD%E6%96%87%E7%89%88
26,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01CuuDM62GdSLtOOEmW_!!2251059038.jpg_q60.jpg_.webp,【上海】 赖声川经典《暗恋桃花源》专属版,上海 | 上剧场,2022.02.17-02.27,100-800             元,//detail.damai.cn/item.htm?id=656159964276&clicktitle=%E8%B5%96%E5%A3%B0%E5%B7%9D%E7%BB%8F%E5%85%B8%E3%80%8A%E6%9A%97%E6%81%8B%E6%A1%83%E8%8A%B1%E6%BA%90%E3%80%8B%E4%B8%93%E5%B1%9E%E7%89%88
27,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01O4eFfN2GdSMCZUdxv_!!2251059038.jpg_q60.jpg_.webp,【上海】 老舍经典·方旭导演作品 话剧《牛天赐》,上海 | 东方艺术中心-歌剧厅,2021.12.31-2022.01.01,180-880             元,//detail.damai.cn/item.htm?id=659649359413&clicktitle=%E8%80%81%E8%88%8D%E7%BB%8F%E5%85%B8%C2%B7%E6%96%B9%E6%97%AD%E5%AF%BC%E6%BC%94%E4%BD%9C%E5%93%81%20%E8%AF%9D%E5%89%A7%E3%80%8A%E7%89%9B%E5%A4%A9%E8%B5%90%E3%80%8B
28,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01a0vVdm2GdSMQRXm1S_!!2251059038.jpg_q60.jpg_.webp,【上海】 原创音乐剧 《 Amanda 的三十八岁生日》,上海 | 白玉兰剧场,2021.12.22-12.24,100-200             元,//detail.damai.cn/item.htm?id=660482443493&clicktitle=%E5%8E%9F%E5%88%9B%E9%9F%B3%E4%B9%90%E5%89%A7%20%E3%80%8A%20Amanda%20%E7%9A%84%E4%B8%89%E5%8D%81%E5%85%AB%E5%B2%81%E7%94%9F%E6%97%A5%E3%80%8B
29,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01JVHkkV2GdSMTfCyvs_!!2251059038.png_q60.jpg_.webp,【上海】 话剧《借问汤先生》,上海 | 橙剧场·可当代艺术中心,2021.11.26-11.28,120-280             元,//detail.damai.cn/item.htm?id=661160183827&clicktitle=%E8%AF%9D%E5%89%A7%E3%80%8A%E5%80%9F%E9%97%AE%E6%B1%A4%E5%85%88%E7%94%9F%E3%80%8B
30,//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01BUQbyA2GdSLUyTob6_!!2251059038.png_q60.jpg_.webp,【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.11.23-12.31,199-399             元,//detail.damai.cn/item.htm?id=654677574083&clicktitle=%E7%8E%AF%E5%A2%83%E5%BC%8F%E9%A9%BB%E6%BC%94%E9%9F%B3%E4%B9%90%E5%89%A7%E3%80%8A%E5%8D%B1%E9%99%A9%E6%B8%B8%E6%88%8F%E3%80%8B
